Date,Country,State(USA only),City,Title
03 Nov 2022, Czech Republic,,Plzeň,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
03 Nov 2022, USA,Florida,Jacksonville,Disney Princess – The Concert,"return overlib('For generations, Disney’s Princesses have enchanted us with their courage and kindness. Their music has been the soundtrack to our lives. Now, for the first time in forever, that beloved music will be celebrated in Disney Princess – The Concert!  Be our guest as an all-star quartet of Br')"
03 Nov 2022, Germany,,Berlin,"Kirill Petrenko conducts Korngold, Mozart and Norman","return overlib(' Berliner Philharmoniker<BR>Kirill Petrenko, conductor<BR>Noah Bendix-Balgley, violin<BR><BR>The hero of Kurt Vonnegut’s novel Slaughterhouse Five is “unstuck in time”, a phrase that inspired the American composer Andrew Norman to write his stormy, virtuosic orchestral work Unstuck')"
03 Nov 2022, Denmark,,Aarhus,Symphony of Horrors,return overlib('When watching horror-movies there is only one rule: If you turn up the volume you increase the horror-aspect of the movie. In this concert the volume is cranked all the way up to 13!<BR><BR>Jakob Stegelmann guides the audience through a potpourri of unspeakable horros from the best films and videoga')
03 Nov 2022, Germany,,Karlsruhe,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>The Music Of James Bond: Since the 60s until today, the music of the thriller around the British secret agent is inextricably linked to the movies. Original music from \""Skyfall\"", \""Casino Royale\"", \""Golden Eye\"", Moonra')"
04 Nov 2022, Germany,,Bad Orb,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>The Music Of James Bond: Since the 60s until today, the music of the thriller around the British secret agent is inextricably linked to the movies. Original music from \""Skyfall\"", \""Casino Royale\"", \""Golden Eye\"", Moonra')"
04 Nov 2022, USA,California,Costa Mesa,John Williams: A 90th Birthday Celebration,"return overlib('The music of John Williams has transported us beyond our imagination. To new worlds. Through heart-pounding adventures. Be there as Pacific Symphony performs all your John Williams favorites: Superman, Raiders of the Lost Ark, Harry Potter, E.T., and of course, Star Wars. The force is with you for t')"
04 Nov 2022, Czech Republic,,Karlovy Vary,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
04 Nov 2022, USA,Florida,Tallahassee,Disney Princess – The Concert,"return overlib('For generations, Disney’s Princesses have enchanted us with their courage and kindness. Their music has been the soundtrack to our lives. Now, for the first time in forever, that beloved music will be celebrated in Disney Princess – The Concert!  Be our guest as an all-star quartet of Br')"
04 Nov 2022, USA,Oklahoma,Oklahoma City,"Happy 90th, John Williams!","return overlib('We join orchestras across the country in celebrating the 90th birthday of the legendary composer John Williams. He has written some of the most iconic film scores in cinematic history, from Indiana Jones to Jurassic Park, E.T. to Schindler’s List, and so many more. Come to hear some of those s')"
04 Nov 2022, Germany,,Berlin,"Kirill Petrenko conducts Korngold, Mozart and Norman","return overlib(' Berliner Philharmoniker<BR>Kirill Petrenko, conductor<BR>Noah Bendix-Balgley, violin<BR><BR>The hero of Kurt Vonnegut’s novel Slaughterhouse Five is “unstuck in time”, a phrase that inspired the American composer Andrew Norman to write his stormy, virtuosic orchestral work Unstuck')"
04 Nov 2022, France,,Strasbourg,The Lord of the Rings: The Two Towers (extra date),"return overlib('Howard Shore - The Lord of the Rings: The Two Towers<BR><BR>The adventure continues with the second installment of Peter Jackson\'s epic trilogy. Rediscover Middle-earth during the exceptional cine-concert \""The Lord of the Rings: The Two Towers\"". With more than 250 musicians & singer')"
04 Nov 2022, Denmark,,Aarhus,Symphony of Horrors,return overlib('When watching horror-movies there is only one rule: If you turn up the volume you increase the horror-aspect of the movie. In this concert the volume is cranked all the way up to 13!<BR><BR>Jakob Stegelmann guides the audience through a potpourri of unspeakable horros from the best films and videoga')
04 Nov 2022, Netherlands,,Enschede,Film scores from The Gadfly and Othello,"return overlib('Phion<BR>Nikolai Alexeev - conductor<BR>Anna Starushkevich - mezzo-soprano<BR><BR>A special symphonic spectacle<BR><BR>Phion and conductor Nikolai Alexeev take you on a true symphonic spectacle. With the film music of Shostakovich, Khachaturyan and Prokofiev. Intense, tragic and gripping, in Ensched')"
04 Nov 2022, USA,Missouri,St. Louis,Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>An adventure 65 million years in the making. The SLSO performs Williams’ legendary score live to the classic Spielberg film—bringing childlike wonder (and dinosaurs) to the big screen at Powell Hall.')
04 Nov 2022, United Kingdom,,Glasgow,The Music of Lord of the Rings and Beyond,"return overlib('Experience epic and inspirational music from Lord of the Rings, The Hobbit, Game of Thrones and beyond as the worlds of TV, film and fantasy are brought to life by a full symphony orchestra and stunning choir, in this unmissable concert featuring the greatest movie music of all time.<BR><BR>Featurin')"
05 Nov 2022, USA,California,Costa Mesa,John Williams: A 90th Birthday Celebration,"return overlib('The music of John Williams has transported us beyond our imagination. To new worlds. Through heart-pounding adventures. Be there as Pacific Symphony performs all your John Williams favorites: Superman, Raiders of the Lost Ark, Harry Potter, E.T., and of course, Star Wars. The force is with you for t')"
05 Nov 2022, USA,Washington,Spokane,John Williams' 90th Birthday Celebration,return overlib('The music of John Williams has transported us beyond our imagination. To new worlds. Through heart-pounding adventures. The Spokane Symphony brings your favorite John Williams scores to life to celebrate his 90th birthday. Join us as we celebrate this significant milestone with music from his most p')
05 Nov 2022, Poland,,WrocŁaw (Wroclaw),Concert of Music Film - Wojciech Kilar ,"return overlib('Polish Radio Orchestra<BR>Maciej Sztor, conductor<BR>Anna Lasota, singer<BR>Jasin Rammal-Rykała, singer<BR>Magda Miśka-Jackowska, presenter<BR><BR>For the first time at the TAURON Arena Kraków, the Polish Radio Orchestra and choir, conducted by Maciej Sztor, will perform a Film Music Concer')"
05 Nov 2022, USA,Georgia,Atlanta,Joker - Live in Concert,"return overlib('Hildur Guðnadóttir - The Joker<BR><BR>Experience Todd Phillips’ ground-breaking, award-winning film Joker like never before. The Atlanta Symphony Orchestra will bring composer Hildur Guðnadóttir’s award-winning score to life to create a vivid, visceral and entirely ')"
05 Nov 2022, France,,Paris,The Lord of the Rings: The Two Towers,"return overlib('Howard Shore - The Lord of the Rings: The Two Towers<BR><BR>The adventure continues with the second installment of Peter Jackson\'s epic trilogy. Rediscover Middle-earth during the exceptional cine-concert \""The Lord of the Rings: The Two Towers\"". With more than 250 musicians & singer')"
05 Nov 2022, Sweden,,Stockholm,Harry Potter and the Prisoner of Azkaban™ in Concert,"return overlib('John Williams - Harry Potter and the Prisoner of Azkaban™<BR><BR>Relive the magic of your favorite wizard in Harry Potter and the Prisoner of Azkaban™ in Concert in August 2020. Based on the third installment of J.K. Rowling’s classic saga, the thrilling tale is accompanied by the ')"
05 Nov 2022, France,,Limoges,Disney in Concert - Magical Music from the Movies,"return overlib('Sinfonia Pop Orchestra<BR>Emily Pello<BR>Dan Menarche<BR>Judith Derouin<BR>Igor Bouin<BR>Cherry Calixte<BR><BR>The best of your favorite Disney screens on giant screen accompanied by a symphony orchestra and singers on stage. A magical moment to live between loved ones, the show\'s composers have ta')"
05 Nov 2022, Czech Republic,,Ústí nad Labem,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
05 Nov 2022, USA,Alabama,Birmingham,Disney Princess – The Concert,"return overlib('For generations, Disney’s Princesses have enchanted us with their courage and kindness. Their music has been the soundtrack to our lives. Now, for the first time in forever, that beloved music will be celebrated in Disney Princess – The Concert!  Be our guest as an all-star quartet of Br')"
05 Nov 2022, USA,Oklahoma,Oklahoma City,"Happy 90th, John Williams!","return overlib('We join orchestras across the country in celebrating the 90th birthday of the legendary composer John Williams. He has written some of the most iconic film scores in cinematic history, from Indiana Jones to Jurassic Park, E.T. to Schindler’s List, and so many more. Come to hear some of those s')"
05 Nov 2022, France,,Toulon,Le Cirque (The Circus) live in concert,"return overlib('Charles Chaplin - The Circus<BR><BR>The cine-concert at the Opéra de Toulon is the major event of the International Screen Music Festival, which for its eighteenth edition offers you Le Cirque, one of the silent films most mastered by its richness and its construction rigor of Charlie Chaplin')"
05 Nov 2022, Czech Republic,,Praha (Prague),PFO again in the big Lantern,"return overlib('The orchestra, with the participation of the Prague Film Choir and the Canti di Praga Choir under the direction of Choirmaster Kamila Tůmová, values ​​the interest of you, the audience and the fans. Conductor Jiří Korynta wants to keep the upcoming program in tune with the pre-Ch')"
05 Nov 2022, France,,Toulouse,Naruto Symphonic Experience,"return overlib('VISUEL productions presents, in agreement with Un pour tous productions<BR>NARUTO SYMPHONIC EXPERIENCE<BR><BR>On the occasion of Naruto\'s 20th anniversary and for the first time in Paris, then on tour in France, relive the extraordinary story of this young Ninja apprentice during an exceptional vis')"
05 Nov 2022, USA,Pennsylvania,Erie,Star Wars: The Empire Strikes Back in Concert,"return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>The saga continues as Star Wars and the Erie Philharmonic join forces for The Empire Strikes Back in Concert, featuring the iconic movie on the big screen with John Williams’s legendary score performed live.<BR><BR>Presentation licensed')"
05 Nov 2022, USA,Indiana,Fort Wayne,Superhero Soundtrack,"return overlib('Guest conductor, Stuart Chafetz, heroically kicks the Pops Season off with some of the most memorable superhero themes from films like The Avengers, Superman, Batman, Wonder Woman, Spider-Man, Man of Steel, The Incredibles, Supergirl, and X-Men: The Last Stand!<BR><BR>John Williams - Summon the Hero')"
05 Nov 2022, USA,South Carolina,Spartanburg,Fantasy & Firebird,"return overlib('Spartanburg Philharmonic<BR>Troy Quinn, conductor<BR>Fabiola Kim, violin<BR><BR>Let your imagination take flight with a fantasy-filled program led by guest conductor Troy Quinn. With Dvorak’s high-flying, spirited Carnival Overture, the concert takes off then rockets to even greater heights wi')"
05 Nov 2022, Netherlands,,Arnhem,Film scores from The Gadfly and Othello,"return overlib('Phion<BR>Nikolai Alexeev - conductor<BR>Anna Starushkevich - mezzo-soprano<BR><BR>A special symphonic spectacle<BR><BR>Phion and conductor Nikolai Alexeev take you on a true symphonic spectacle. With the film music of Shostakovich, Khachaturyan and Prokofiev. Intense, tragic and gripping, in Ensched')"
05 Nov 2022, USA,Missouri,St. Louis,Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>An adventure 65 million years in the making. The SLSO performs Williams’ legendary score live to the classic Spielberg film—bringing childlike wonder (and dinosaurs) to the big screen at Powell Hall.')
05 Nov 2022, USA,Iowa,Davenport,Masterworks II: Fit for a King,"return overlib('Duke Ellington - The Three Black Kings<BR>Ernest Bloch - Schelomo: Hebraic Rhapsody<BR>Michael Daugherty - Dead Elvis<BR>Johan Strauss, Jr. - Emperor Waltz, Op. 437<BR>William Walton v- Henry V: Suite - from the 1944 movie by Laurence Olivier (original title: The Chronicle history of King Henry the ')"
05 Nov 2022, Switzerland,,Luzern (Lucerne),EPIC - Legendary soundtracks,"return overlib('Big pictures, monumental music: anyone who goes to the cinema wants to experience goose bumps. The decisive role is always played by the music: without it, even the most ingenious director could not arouse great emotions. Even more overwhelming feelings arise in the concert hall when the film music ')"
06 Nov 2022, France,,Paris,The Lord of the Rings: The Two Towers,"return overlib('Howard Shore - The Lord of the Rings: The Two Towers<BR><BR>The adventure continues with the second installment of Peter Jackson\'s epic trilogy. Rediscover Middle-earth during the exceptional cine-concert \""The Lord of the Rings: The Two Towers\"". With more than 250 musicians & singer')"
06 Nov 2022, France,,Pau,Disney in Concert - Magical Music from the Movies,"return overlib('The best of your favorite Disney screens on giant screen accompanied by a symphony orchestra and singers on stage. A magical moment to live between loved ones, the show\'s composers have taken into account all generations of Disney fans. Simba, Belle, Pocahontas, The Snow Queen, Jack Sparrow, the Li')"
06 Nov 2022, France,,Grenoble,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
06 Nov 2022, USA,Alabama,Huntsville,Disney Princess – The Concert,"return overlib('Out of the best interests for the health and safety of our ticket buyers and their families, Disney Princess - The Concert shows scheduled to take place between November 1 and December 12, 2021 are being rescheduled to 2022.  While purchased tickets will be honored for any rescheduled shows where po')"
06 Nov 2022, Germany,,Bonn,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>The Music Of James Bond: Since the 60s until today, the music of the thriller around the British secret agent is inextricably linked to the movies. Original music from \""Skyfall\"", \""Casino Royale\"", \""Golden Eye\"", Moonra')"
06 Nov 2022, Czech Republic,,České Budějovice,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
06 Nov 2022, Japan,,Tokyo,"Dragon Quest Koichi Sugiyama Symphonic Suite ""Dragon Quest Ⅺ"" In Search of Time to Pass","return overlib('Koichi Sugiyama: Symphonic Suite \""Dragon Quest Ⅺ\"" In Search of Time to Pass<BR><BR>Koichi Sugiyama: Symphonic Suite \""DRAGON QUEST Ⅺ\"" SUGISRISHITOKI WO MOTOMETE<BR>')"
06 Nov 2022, Switzerland,,Luzern (Lucerne),EPIC - Legendary soundtracks,"return overlib('Big pictures, monumental music: anyone who goes to the cinema wants to experience goose bumps. The decisive role is always played by the music: without it, even the most ingenious director could not arouse great emotions. Even more overwhelming feelings arise in the concert hall when the film music ')"
06 Nov 2022, New Zealand,,Tauranga,Spooky Symphony,"return overlib('Welcome to a fun-filled family concert with the NZSOoOoOoOoOoOo......<BR><BR>Join us if you dare as our narrator leads you through a mysterious tale while the NZSO performs some of the most magical, spooky, creepy, or just outright monstrous music ever written.  Featuring Edvard Grieg’s ominou')"
06 Nov 2022, USA,Georgia,Atlanta,Joker - Live in Concert,"return overlib('Hildur Guðnadóttir - The Joker<BR><BR>Experience Todd Phillips’ ground-breaking, award-winning film Joker like never before. The Atlanta Symphony Orchestra will bring composer Hildur Guðnadóttir’s award-winning score to life to create a vivid, visceral and entirely ')"
06 Nov 2022, France,,Marseille,Naruto Symphonic Experience,"return overlib('VISUEL productions presents, in agreement with Un pour tous productions<BR>NARUTO SYMPHONIC EXPERIENCE<BR><BR>On the occasion of Naruto\'s 20th anniversary and for the first time in Paris, then on tour in France, relive the extraordinary story of this young Ninja apprentice during an exceptional vis')"
06 Nov 2022, USA,Pennsylvania,Erie,Star Wars: The Empire Strikes Back in Concert,"return overlib('John Williams - Star Wars: The Empire Strikes Back<BR><BR>The saga continues as Star Wars and the Erie Philharmonic join forces for The Empire Strikes Back in Concert, featuring the iconic movie on the big screen with John Williams’s legendary score performed live.<BR><BR>Presentation licensed')"
06 Nov 2022, Netherlands,,Deventer,Film scores from The Gadfly and Othello,"return overlib('Phion<BR>Nikolai Alexeev - conductor<BR>Anna Starushkevich - mezzo-soprano<BR><BR>A special symphonic spectacle<BR><BR>Phion and conductor Nikolai Alexeev take you on a true symphonic spectacle. With the film music of Shostakovich, Khachaturyan and Prokofiev. Intense, tragic and gripping, in Ensched')"
06 Nov 2022, USA,Missouri,St. Louis,Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>An adventure 65 million years in the making. The SLSO performs Williams’ legendary score live to the classic Spielberg film—bringing childlike wonder (and dinosaurs) to the big screen at Powell Hall.')
06 Nov 2022, USA,Iowa,Davenport,Masterworks II: Fit for a King,"return overlib('Duke Ellington - The Three Black Kings<BR>Ernest Bloch - Schelomo: Hebraic Rhapsody<BR>Michael Daugherty - Dead Elvis<BR>Johan Strauss, Jr. - Emperor Waltz, Op. 437<BR>William Walton v- Henry V: Suite - from the 1944 movie by Laurence Olivier (original title: The Chronicle history of King Henry the ')"
07 Nov 2022, Czech Republic,,Praha (Prague),Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
07 Nov 2022, France,,Paris,The Lord of the Rings: The Two Towers (extra performance),"return overlib('Howard Shore - The Lord of the Rings: The Two Towers<BR><BR>The adventure continues with the second installment of Peter Jackson\'s epic trilogy. Rediscover Middle-earth during the exceptional cine-concert \""The Lord of the Rings: The Two Towers\"". With more than 250 musicians & singer')"
08 Nov 2022, USA,Florida,Orlando,Disney Princess – The Concert,"return overlib('For generations, Disney’s Princesses have enchanted us with their courage and kindness. Their music has been the soundtrack to our lives. Now, for the first time in forever, that beloved music will be celebrated in Disney Princess – The Concert!  Be our guest as an all-star quartet of Br')"
08 Nov 2022, Czech Republic,,Liberec,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
08 Nov 2022, Germany,,Marl,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>The Music Of James Bond: Since the 60s until today, the music of the thriller around the British secret agent is inextricably linked to the movies. Original music from \""Skyfall\"", \""Casino Royale\"", \""Golden Eye\"", Moonra')"
08 Nov 2022, Netherlands,,Zwolle,Film scores from The Gadfly and Othello,"return overlib('Phion<BR>Nikolai Alexeev - conductor<BR>Anna Starushkevich - mezzo-soprano<BR><BR>A special symphonic spectacle<BR><BR>Phion and conductor Nikolai Alexeev take you on a true symphonic spectacle. With the film music of Shostakovich, Khachaturyan and Prokofiev. Intense, tragic and gripping, in Ensched')"
08 Nov 2022, United Kingdom,,Portsmouth,The Lord of The Rings and The Hobbit,return overlib('The Lord of the Rings & The Hobbit – the Concert<BR><BR>Featuring The Shire Choir and Philharmonic Orchestra & the State Academic Symphony Orchestra of the Republic of Belarus & film guests<BR><BR>The fantastic world of hobbits and elves from J.R.R. Tolkien’s “Lord of t')
09 Nov 2022, Canada,,Kitchener,The Art of Video Game Music,"return overlib('Kitchener-Waterloo Orchestra<BR>Evan Mitchell, conductor<BR>Orvar Säfström, narrator<BR><BR>Swedish video game music concert producer Orvar Säfström make his Canadian debut with the KWS in a video game music event that focuses on the exceptional quality of the music and the orche')"
09 Nov 2022, Czech Republic,,Hradec Králové,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
09 Nov 2022, Germany,,Düsseldorf,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>Live music meets live action: an unforgettable homage to great cinematic moments!<BR>Who does not immediately see the secret agent in a tuxedo, who does not see him with the gun at the ready when he hears the theme songs of the respective \""James ')"
09 Nov 2022, Netherlands,,Roosendaal,Bond Symphonic,"return overlib('European Philharmonia<BR>Gene Thomas, soloist<BR>Eva Jane Smeenk, soloist<BR>Astrid Stockman, soloist<BR><BR>Immortal music from the James Bond films.<BR><BR>The James Bond films have produced many melodies that are among the best film music. The title songs are often sung by popular singers and per')"
09 Nov 2022, USA,New York,New York,Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>Experience the action-packed adventure like never before — projected on a huge screen while the Orchestra plays John Williams’s classic score live!<BR><BR>proper link to follow')
09 Nov 2022, France,,Nancy,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
10 Nov 2022, France,,Lyon,The Lord of the Rings: The Two Towers,"return overlib('Howard Shore - The Lord of the Rings: The Two Towers<BR><BR>The adventure continues with the second installment of Peter Jackson\'s epic trilogy. Rediscover Middle-earth during the exceptional cine-concert \""The Lord of the Rings: The Two Towers\"". With more than 250 musicians & singer')"
10 Nov 2022, Czech Republic,,Brno-Královo,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
10 Nov 2022, United Kingdom,,Gateshead,GoGo Penguin,"return overlib('GoGo Penguin are:<BR>Chris Illingworth, piano<BR>Nick Blacka, bass<BR>Rob Turner, drums<BR>Joe Reiser, sound<BR><BR>GoGo Penguin have been hailedas the “Radiohead of British Jazz”, but they draw equally on rock, jazz and minimalist influences, alongside the intricacy of Aphex Twin or Fou')"
10 Nov 2022, Netherlands,,Rotterdam,Harry Potter and the Half-Blood Prince™ In Concert,"return overlib('Nicholas Hooper - Harry Potter and the Half-Blood Prince<BR><BR>Experience the magic of Harry Potter and the Half-Blood Prince in the concert hall: the film screening with live accompaniment by the Rotterdam Philharmonic Orchestra. In the sixth part of JK Rowling\'s classic saga, the now sixteen-yea')"
10 Nov 2022, Canada,,Halifax,Last Night of the Proms!,"return overlib('Symphony Nova Scotia<BR>Lucas Waldin, conductor<BR>Jon-Paul Décosse, baritone<BR>Symphony Nova Scotia<BR><BR>Back by popular demand! For over 100 years, London’s annual summer Proms festival has been a British national triumph – and biggest of all is the boisterous final hurrah, t')"
10 Nov 2022, Austria,,Innsbrück,Symphonie­konzert,"return overlib('Innsbruck Tiroler Symphonie Orchester<BR>Ainārs Rubiķis , conductor<BR>Arabella Steinbacher, violin<BR><BR>Erich Wolfgang Korngold - Concerto for violin and orchestra in D major op. 35, the concerto has themes from the scores for the movies ANOTHER DAWN (1937), ANTHONY ADVERSE (1936) & THE PRI')"
10 Nov 2022, Belgium,,Antwerpen/Anvers (Antwerp),The Immigrant,"return overlib('The Venezuelan pianist Gabriela Montero enjoys colouring outside the lines of the stave. At her concerts she switches between inspired playing from the score and light-fingered improvisations, mainly of Romantic and 20th-century repertoire. A striking musical voice who also gets involved in politics')"
10 Nov 2022, Germany,,Lüdenscheid,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>The Music Of James Bond: Since the 60s until today, the music of the thriller around the British secret agent is inextricably linked to the movies. Original music from \""Skyfall\"", \""Casino Royale\"", \""Golden Eye\"", Moonra')"
10 Nov 2022, USA,New York,New York,Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>Experience the action-packed adventure like never before — projected on a huge screen while the Orchestra plays John Williams’s classic score live! <BR><BR>proper link to follow')
10 Nov 2022, USA,Georgia,Atlanta,Violin Superstar Gil Shaham,"return overlib('Jean Sibelius - The Oceanides<BR>Erich Wolfgang Korngold - Violin Concerto D-Major, op.35, the concerto has themes from the scores for the movies ANOTHER DAWN (1937), ANTHONY ADVERSE (1936) & THE PRINCE AND THE PAUPER (1937)<BR>Jennifer Higdon - Concerto for Orchestra<BR><BR>Before he pioneered ')"
10 Nov 2022, United Kingdom,,Croydon,Lord of the Rings and The Hobbit in concert,"return overlib('J. R. R. Tolkien’s masterpiece in a one-off concert with orchestra, choir and the Tolkien Ensemble on the Oscar winning music of Howard Shore, Annie Lennox, Enya and Ed Sheeran.')"
10 Nov 2022, Germany,,Frankfurt am Main,a Tribute to Mr. Batman - A night out for Danny Elfman,"return overlib('MDR Symphony Orchestra\\<BR>Frank Strobel, conductor<BR>Colin Currie, percussion<BR><BR>He was already a legend in the film music business during his lifetime, with four Oscar, eleven Grammy and four Golden Globe nominations underscoring his rank. Danny Elfman has been Tim Burton\'s house and court ')"
10 Nov 2022, USA,Tennessee,Knoxville,Service and Spirit: A Salute to Veterans,return overlib('William Grant Still - Festive Overture<BR>Samuel Barber - Adagio for Strings<BR>John Williams - “The Men of the Yorktown” from Midway<BR>Aaron Copland - Lincoln Portrait<BR>Traditional - Armed Forces Salute<BR>Sergei Prokofiev - Symphony No. 5')
11 Nov 2022, Netherlands,,Rotterdam,Harry Potter and the Half-Blood Prince™ In Concert,"return overlib('Nicholas Hooper - Harry Potter and the Half-Blood Prince<BR><BR>Experience the magic of Harry Potter and the Half-Blood Prince in the concert hall: the film screening with live accompaniment by the Rotterdam Philharmonic Orchestra. In the sixth part of JK Rowling\'s classic saga, the now sixteen-yea')"
11 Nov 2022, France,,Nancy,Disney in Concert - Magical Music from the Movies,"return overlib('The best of your favorite Disney screens on giant screen accompanied by a symphony orchestra and singers on stage. A magical moment to live between loved ones, the show\'s composers have taken into account all generations of Disney fans. Simba, Belle, Pocahontas, The Snow Queen, Jack Sparrow, the Li')"
11 Nov 2022, United Kingdom,,Birmingham,Vaughan Williams at 150: Scott of the Antarctic,"return overlib('City of Birmingham Symphony Orchestra<BR>Martyn Brabbins, conductor<BR>Katie Trethewey, soprano<BR>CBSO Youth Chorus<BR><BR>Ralph Vaughn Williams - Scott of the Antarctic<BR><BR>“To strive, to seek, to find and not to yield”: the 1948 film Scott of the Antarctic is a true classic of Brit')"
11 Nov 2022, United Kingdom,,Bournemouth,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
11 Nov 2022, France,,Tours,The Magical Music of Harry Potter,"return overlib('HOGWARTS - The Harry Potter films are the most successful films in cinema history, now the Oscar-winning film music in a unique concert with the Weasley brothers! Original actors, star soloists, a choir and symphony orchestra will bring Harry Potter\'s musical world to life. Visitors will experience')"
11 Nov 2022, USA,Florida,St. Petersburg,Disney Princess – The Concert,"return overlib('For generations, Disney’s Princesses have enchanted us with their courage and kindness. Their music has been the soundtrack to our lives. Now, for the first time in forever, that beloved music will be celebrated in Disney Princess – The Concert!  Be our guest as an all-star quartet of Br')"
11 Nov 2022, Germany,,Dortmund,The Music Of James Bond & More!,"return overlib('25 Movies - One Show - All The Hits Live<BR><BR>The Music Of James Bond: Since the 60s until today, the music of the thriller around the British secret agent is inextricably linked to the movies. Original music from \""Skyfall\"", \""Casino Royale\"", \""Golden Eye\"", Moonra')"
11 Nov 2022, Czech Republic,,Zlín,Music of Hans Zimmer,"return overlib('LORDS OF THE SOUND, it\'s more than just a concert, it\'s a real show!<BR><BR>“Spider man 2”, “The Dark Knight”, “Interstellar”, “Gravity”, “Sherlock Holmes”, “Angels & Demons”, “The Da Vinci Code”, “Pearl ')"
11 Nov 2022, Austria,,Innsbrück,Symphonie­konzert,"return overlib('Innsbruck Tiroler Symphonie Orchester<BR>Ainārs Rubiķis , conductor<BR>Arabella Steinbacher, violin<BR><BR>Erich Wolfgang Korngold - Concerto for violin and orchestra in D major op. 35, the concerto has themes from the scores for the movies ANOTHER DAWN (1937), ANTHONY ADVERSE (1936) & THE PRI')"
11 Nov 2022, Iceland,,Reykjavik,"""With everything clear"" - Film concert","return overlib('On the occasion The 40th anniversary of the most popular film in Icelandic history will be this masterpiece will be shown.<BR>With everything clear on a giant tent in Eldborg Harpa, with live music performance by Stuðmann himself.<BR><BR>Do not leave unique an event you miss.<BR><BR>The picture ')"
