coude_dia (cm),poignet_dia (cm),genou_dia (cm),cheville_dia (cm),épaule_tour (cm),pec_tour (cm),taille_tour (cm),abdomen_tour (cm),hanche_tour (cm),bicept_tour (cm),avantbras_tour (cm),genou_tour (cm),cheville_tour (cm),poignet_tour (cm),Âge,Poids (kg),Grandeur (cm),Genre
13.8,10.7,20,15.5,114.2,92.3,78,100.9,106.9,31.7,26.3,38.5,22.8,15.6,24,75.9,172.7,Femme
11.8,9.8,18.2,13.8,95.9,81.3,64.5,80.8,91.9,25.1,23.1,34.6,21.4,14.6,25,55,168.9,Femme
12.6,9.6,18.2,12.5,98.7,82.2,65.8,80.2,89.1,28.4,22.9,33.6,19.7,14.8,20,57.3,161.3,Femme
12.2,10.2,17.9,13.4,91.2,78.6,62.5,84.5,95.5,27.4,22.4,35.1,20.4,14.8,34,55,167.6,Femme
13.2,9.6,17.8,14.4,105.1,94.3,77.5,93.9,101.1,28.3,23,36.5,21.9,14.7,32,65.5,165.1,Femme
13.6,10.4,19,13.6,102.3,89.5,70,89.6,98.9,29.3,25,35.6,22.5,16.4,24,65.5,175.3,Femme
12.2,9.1,16,12.7,93.1,81,59.4,73.7,83.3,26.9,22.5,31.7,20.5,15.2,29,48.6,157.5,Femme
12.2,10.2,17.3,13,101.7,85.4,68.3,84,94,29.8,24.7,32.7,21.7,15.4,31,58.6,163.8,Femme
13.4,10.4,18.8,13.4,105,86.2,77.9,96,100.1,28.4,24.3,34.7,20.9,14.9,34,63.6,167.6,Femme
12.8,9.8,17.6,13.4,96.4,85.3,68.3,88,93.8,27.7,24.4,32.7,19.6,14.9,36,55.2,165.1,Femme
11.3,9.4,18.9,13.8,103.5,86.1,72,91.9,103.9,27.4,22.4,36.3,23.4,14.5,32,62.7,165.1,Femme
12.4,10,17.5,13.6,99.8,84.5,62.7,78.3,93.5,24.2,23.3,32.8,22,14.8,39,56.6,168.9,Femme
12.6,9,17.4,12.2,87,72.6,58,82.9,90.2,23.1,21,35.5,20.3,13,37,53.9,162.6,Femme
13,10,18.4,13.4,105.2,90,72.7,97.2,100.2,30.5,23.7,36.3,20.5,14.8,52,63.2,164.5,Femme
12.9,10.4,18.6,14,102.1,95.8,85.4,105.2,109.5,29.7,24.5,40.3,22.4,15.3,24,73.6,176.5,Femme
12.2,10.2,18.8,13.8,101.3,85.5,67.3,86.9,97.6,27.2,22.6,38.3,21,14.6,33,62,168.9,Femme
13.4,10.5,19.5,13.6,99.6,85.7,70.8,92.1,96.9,29.3,24.2,36.5,20.3,15.4,42,63.6,175.3,Femme
12,9.2,17.6,12.9,99.4,85.4,67.4,85.9,90.3,26.9,22.3,32.8,18.7,13.7,34,53.2,159.4,Femme
13.4,10.2,18.4,14.1,99.4,79.1,66,85,94.8,26.8,22.9,32.2,19.2,14.6,37,53.4,160,Femme
13.4,9.6,18.4,13.4,99,84.4,63.6,84.9,92.7,26.7,23.7,33.5,20.2,14.6,39,55,170.2,Femme
13.6,10.4,20.4,14.3,108.2,90,71.7,95.8,108.4,28.7,25.9,40.5,23.3,15.6,41,70.5,162.6,Femme
12.2,9.6,16.8,12.9,96.4,82.9,73.6,86.9,94.7,25,21,31.6,19.3,13.6,36,54.5,167.6,Femme
12.9,9.6,17.2,13.8,101.4,87.3,66.9,83.3,90.6,28.9,23.8,33.9,20.8,15.5,19,54.5,162.6,Femme
12,9.2,17.3,13.2,98.2,85.3,65.5,76.7,90.8,27.3,24.3,33.1,20.7,14.2,22,55.9,160.7,Femme
12.8,10.4,18.4,13.8,100.6,87.3,70.4,91.1,96.7,29.9,23.7,35.3,23,16.3,23,59,160,Femme
11.2,9.1,17.4,12.9,108.4,93.2,80.3,98,101.2,31,23.6,34.6,20,14.3,36,63.6,157.5,Femme
12.9,10.4,18.6,13.4,100.8,84.7,65,84.5,94.7,28.9,24.4,34.7,22.5,15.3,45,54.5,162.6,Femme
11.6,9.6,17.2,12,94.8,78,60.4,79.2,87,26.8,22.7,33.2,18.8,14.7,25,47.3,152.4,Femme
14.3,10.8,19.6,14.4,108.2,90.7,75.3,96.3,103.6,31.5,25.4,35.7,21.1,16.3,67,67.7,170.2,Femme
13.8,10.5,20,14.3,110.7,95,83.4,100.5,107.5,34.2,28.3,40.9,23.4,15.6,26,80.9,165.1,Femme
13.2,10.2,19.2,14.4,102.6,88.7,72.2,87.8,96.1,29.5,24.6,39.1,26,15.5,21,70.5,172.7,Femme
12.2,10.8,17.6,13.4,98.1,86.6,70.1,86.2,97.6,27.6,23.7,34.9,21.1,15.3,33,60.9,165.1,Femme
11.5,9.2,17.8,12.6,92,82.5,69.8,86.4,100.2,26.7,23.3,33.5,19.6,14.2,25,63.6,170.2,Femme
11.8,10.2,18.4,12.8,98.6,81.4,66.4,78.5,91.6,24.2,21.2,33,20.2,15,24,54.5,170.2,Femme
12.4,10.5,17.9,13.4,96.1,79.9,61.7,79.7,94.7,25.5,23.2,36.7,22,14.8,21,59.1,170.2,Femme
11.6,10.5,18.7,14.2,107.7,91.1,76.4,98.3,107,32.8,24.8,36.5,23.9,15.5,35,70.5,161.3,Femme
11.7,9.6,16.4,13,95.4,80.1,63.8,72.5,86.3,24.4,22,32,21,14,27,52.7,167.6,Femme
12.4,10.4,18.2,13.2,99.3,86.4,70.2,86.7,97.8,28.3,24.9,35.5,21.4,15.3,27,62.7,167.6,Femme
13,11,20.6,14.3,115.2,105.2,88.2,106.5,107.9,30.3,25.2,39.2,23.1,16.4,26,86.3,165.1,Femme
12.8,10.3,18.7,13.6,96.7,91.1,75.8,94.4,103.3,30.4,24.8,36.8,21.8,15.5,25,66.4,162.6,Femme
12.4,10.3,17.5,13,109,96.7,81.5,94.1,94.9,31.2,25.8,34.4,21.8,14.6,44,67.3,152.4,Femme
12.2,10.8,19.4,14.3,95.1,80.5,67.4,77.7,95.1,27,24.3,36.2,23.7,15.9,29,63,168.9,Femme
13.3,10.3,19.1,14.2,108.4,90.4,78.3,95.4,104.9,32.8,27,39.4,23,16.5,26,73.6,170.2,Femme
12.7,10,18.2,13.8,98.2,84.1,65.9,83.7,96.3,26.6,23.7,35.6,21.7,15.1,23,62.3,175.2,Femme
13.2,10,17.8,14.2,99.7,84.2,62.4,81.4,90.4,25.8,23,34.5,19.2,14.7,32,57.7,175.2,Femme
11.8,9.4,17,12.2,94.4,82.5,65.6,81.8,92.8,28.8,24.7,33,21.7,15.8,32,55.4,160,Femme
15,11.5,22.6,13.8,127.1,106.9,96.2,121.1,128.3,35.9,30.6,49,24.1,17.8,43,104.1,165.1,Femme
12,9,17,11.8,94.9,79.9,62.5,74,87.6,25.7,21.9,31.7,18.5,13.9,32,55.5,174,Femme
13.2,11,19.2,13.8,98.9,93,80.5,98.8,107.2,34.1,27.6,38.8,22.2,16.3,41,77.3,170.2,Femme
12.4,10.2,18.2,14,106.4,96.3,86.1,107.4,112,31.7,25.5,39.4,23.7,16.3,33,80.5,160,Femme
12.4,9.8,17.6,12.7,102.2,86.8,71.3,85.7,94,31.1,24.4,35.9,21.2,14.2,28,64.5,167.6,Femme
12.7,9.1,18.2,13.2,110.3,95.3,79.4,90.9,102.7,29.9,24.9,38.7,21.3,15.5,28,72.3,167.6,Femme
12.9,9.6,16.8,13.4,107.3,93,72.3,89,92,28.8,23.2,35,20.5,14.8,25,61.4,167.6,Femme
11.4,9.6,16.6,12.6,95,86.4,67.4,86.7,98.4,29.3,23.1,35.6,22.5,14.4,38,58.2,154.9,Femme
13,9.6,17.8,13.7,115.6,109,94.2,110.5,103.5,35.7,25.6,34.8,19.5,15,37,81.8,162.6,Femme
12.9,9.8,17.9,13.4,99.3,86.2,67,85.3,96.7,27,22.3,37,21.6,15,25,63.6,175.3,Femme
11.6,9.6,17,11.7,93.1,85.3,69.5,86.2,90.6,24.4,22.1,33.9,19.9,14.1,37,53.4,171.4,Femme
11,8.6,16.4,12.6,94.9,84.2,66.4,79.3,92,24.9,22.3,32.5,21.7,13.4,27,54.5,157.5,Femme
11.6,9.8,17.2,12.9,100,83.7,67.6,84.1,90.4,25.6,23,34.5,21.7,14.6,27,53.6,165.1,Femme
11.8,9.8,18,12.7,98.6,86.5,66.6,87.5,96.7,27.3,24,36,21.4,14.6,20,60,160,Femme
12.8,10.5,19.5,14.4,107.2,98.2,69.7,86,94.9,29.9,25,37.7,23.7,16.2,19,73.6,174,Femme
12,10,17.1,12.8,98.3,88,72,86,95.5,27.6,23.3,35.2,19.6,15.4,32,61.4,162.6,Femme
11.2,10.2,17.5,12.9,92.4,80.4,64.5,81.7,88.4,25.5,23,34.5,20.3,14.9,26,55.5,174,Femme
12.6,10.2,17.7,12.4,93,86,72.3,91.7,97.8,31,26.3,39.9,21.6,15.4,56,63.6,162.6,Femme
12.6,10.7,17,13,99.5,86.4,69.1,87.8,95.4,28.3,24.7,35.6,23,16.6,23,60.9,161.3,Femme
11.8,10.2,16.8,12.9,92.8,87.6,74.7,77,97.7,28.1,23.1,34.4,20.9,15.2,19,60,156.2,Femme
10.6,10.4,17,12.6,95.9,80.9,60.8,77.4,84.6,26.8,22.8,34.4,21,15.4,31,46.8,149.9,Femme
12.4,10.2,17.9,13.2,96.1,82.1,66.9,82.4,91.6,26.2,22.6,35,22.4,15.2,34,57.3,169.5,Femme
13.4,10.8,17.9,12.9,98.5,89.3,68.8,90.8,103.3,29.6,25.1,34.4,21,15.9,34,64.1,160,Femme
12.8,10.5,18.4,13.8,103.8,85.3,63.7,85.3,96.3,26.4,23,36.5,21.3,15,24,63.6,175.3,Femme
14,11,18.9,13.2,105,89,71.2,86.1,93.5,30.2,24.4,37,22.6,15.7,22,67.3,169.5,Femme
12.4,10.8,20.2,12.8,100.2,94.1,79.6,103.5,104.3,36.9,29,40.3,24.6,16.4,34,75.5,160,Femme
13.4,11.2,18.4,14.2,99.1,90.8,77.9,90.6,96.3,28.1,24.3,38.2,22.3,15.4,30,68.2,172.7,Femme
13.1,10.4,17.6,13.8,107.6,97,69.6,90.2,98.3,32,25.1,32.3,20.8,15.9,32,61.4,162.6,Femme
13.3,9.8,18.9,12.4,104,95.4,86,107.1,112.1,32.3,26.4,35.7,21.4,15.8,40,76.8,157.5,Femme
12.9,10.4,19.5,14.4,108.4,91.8,69.9,90.4,101,30.3,25.4,37.7,22.4,15.4,29,71.8,176.5,Femme
12.4,9.8,17.3,13.6,99.3,87.3,63.5,79.2,89.5,30.1,23.6,35.6,22.4,15.2,21,55.5,164.4,Femme
12,10.2,18,13.6,91.9,78.1,57.9,75.1,86.9,27.4,24,34.4,21.2,15.5,33,48.6,160.7,Femme
12,9.8,18.6,13.3,107.1,90.9,72.2,89.4,98.6,30.6,24.9,38.4,22,15.5,33,66.4,174,Femme
13.4,10.8,18.7,13.8,100.5,97.1,80.4,100.8,102.2,33.2,25.5,39.6,23,16.4,38,67.3,163.8,Femme
